0,1,2,3,4,5
Torque Wrenches,,(0.5 to 15) ozf∙in,,0.082 % setting + 0.017 ozf∙in,Torque arm and deadweights
Torque Wrenches,,15 ozf∙in to 2000 lbf∙ft,,0.66 % setting,Torque transducers
Torque Transducers,,(1.25 to 40) ozf∙in,,0.17 % rdg + 0.0003 ozf∙in,Torque wheel/arms and weights
Torque Transducers,,(2.5 to 100) lbf∙in,,0.12 % rdg,Torque wheel/arms and weights
Torque Transducers,,(8.3 to 50) lbf∙ft,,0.11 % rdg,Torque wheel/arms and weights
Torque Transducers,,(50 to150) lbf∙ft,,0.10 % rdg,Torque wheel/arms and weights
Torque Transducers,,(150 to 1200) lbf∙ft,,0.11 % rdg,Torque wheel/arms and weights
Scales and Balances,,(0.5 to 380) g,,(0.037 + 0.000 23W) mg,"Ultra Class weights, Class 1 weights"
Scales and Balances,,(380 to 1800) g,,(0.12 + 0.0001W) mg,"Ultra Class weights, Class 1 weights"
Scales and Balances,,(0 to 200) g,,(0.69 + 0.0094W) mg,Class F and 6 weights
Scales and Balances,,(200 to 1000) g,,(0.51 + 0.012W) mg,Class F and 6 weights
Scales and Balances,,(1 to 16.2) kg,,(26 + 0.0048W) mg,Class F and 6 weights
Scales and Balances,,"(0.1 to 700) lb,",,(260 + 3.5W) mg,"(This instance, “W” = weight in lbs)"
